attraction_name,district,category,rating,review_count,popularity_tier,recorded_years,latest_year
วัดห้วยพระ,ดอนตูม,ประวัติศาสตร์และวัฒนธรรม,4.4,390,Low,"2563, 2564, 2565, 2569",2569
วัดสุขวราราม (วัดดอนรวก),ดอนตูม,ประวัติศาสตร์และวัฒนธรรม,4.3,270,Low,"2563, 2564, 2565, 2569",2569
ศาลพระโพธิสัตว์กวนอิมทุ่งพิชัย,ดอนตูม,ประวัติศาสตร์และวัฒนธรรม,4.5,410,Low,"2563, 2564, 2565, 2569",2569
วัดบางปลา,บางเลน,ประวัติศาสตร์และวัฒนธรรม,4.4,430,Low,"2563, 2564, 2565, 2569",2569
วัดทรงคนอง,สามพราน,ประวัติศาสตร์และวัฒนธรรม,4.4,310,Low,"2563, 2564, 2565, 2569",2569
วัดบางช้างเหนือ,สามพราน,ประวัติศาสตร์และวัฒนธรรม,4.4,370,Low,"2563, 2564, 2565, 2569",2569
วัดธรรมปัญญารามบางม่วง,สามพราน,ประวัติศาสตร์และวัฒนธรรม,4.5,460,Low,"2563, 2564, 2565, 2569",2569
วัดสว่างชาติประชาบำรุง,กำแพงแสน,ประวัติศาสตร์และวัฒนธรรม,4.4,350,Low,"2563, 2564, 2565, 2569",2569
วัดกลางบางพระ,นครชัยศรี,ประวัติศาสตร์และวัฒนธรรม,4.5,490,Low,"2563, 2564, 2565, 2569",2569
วัดสว่างอารมณ์,นครชัยศรี,ประวัติศาสตร์และวัฒนธรรม,4.5,480,Low,"2563, 2564, 2565",2565
วังนาคินทร์ นครชัยศรี,นครชัยศรี,ประวัติศาสตร์และวัฒนธรรม,4.3,340,Low,"2563, 2564, 2565",2565
บ้านกลับหัว,สามพราน,ศิลปะและวิทยาการ,4.1,490,Low,"2563, 2564, 2565",2565
